# AVILA-FFT Analysis Results
# Sample Rate: 16384 Hz
# Samples: 49152
# Frames: 189
# Frequency Bins: 513

time_sec,centroid_hz,bandwidth_hz,flatness
0.000000,119.88,21.16,0.000000
0.015625,129.66,20.73,0.000000
0.031250,139.79,21.03,0.000000
0.046875,149.59,22.68,0.000000
0.062500,159.42,19.28,0.000000
0.078125,169.61,22.90,0.000000
0.093750,179.09,21.47,0.000000
0.109375,189.29,20.69,0.000000
0.125000,199.00,22.52,0.000000
0.140625,208.86,20.34,0.000000
0.156250,218.94,21.61,0.000000
0.171875,228.57,22.21,0.000000
0.187500,238.63,20.31,0.000000
0.203125,248.56,22.72,0.000000
0.218750,258.26,21.09,0.000000
0.234375,268.40,21.09,0.000000
0.250000,278.17,23.03,0.000000
0.265625,288.03,19.84,0.000000
0.281250,298.13,22.82,0.000000
0.296875,307.71,22.10,0.000000
0.312500,317.86,20.35,0.000000
0.328125,327.65,23.01,0.000000
0.343750,337.45,20.81,0.000000
0.359375,347.56,21.68,0.000000
0.375000,357.20,22.72,0.000000
0.390625,367.23,20.08,0.000000
0.406250,377.18,22.70,0.000000
0.421875,386.88,21.72,0.000000
0.437500,397.01,20.97,0.000000
0.453125,406.79,23.31,0.000000
0.468750,416.64,19.80,0.000000
0.484375,426.75,22.52,0.000000
0.500000,436.35,22.57,0.000000
0.515625,446.43,20.26,0.000000
0.531250,456.28,22.84,0.000000
0.546875,466.07,20.95,0.000000
0.562500,476.18,21.56,0.000000
0.578125,485.86,23.10,0.000000
0.593750,495.83,19.34,0.000000
0.609375,505.83,22.65,0.000000
0.625000,515.51,22.28,0.000000
0.640625,525.64,20.64,0.000000
0.656250,535.40,23.20,0.000000
0.671875,545.26,20.73,0.000000
0.687500,555.34,21.93,0.000000
0.703125,565.02,22.93,0.000000
0.718750,575.04,19.79,0.000000
0.734375,584.99,23.30,0.000000
0.750000,594.68,21.84,0.000000
0.765625,604.84,21.18,0.000000
0.781250,614.54,23.44,0.000000
0.796875,624.46,20.32,0.000000
0.812500,634.51,22.69,0.000000
0.828125,644.16,22.65,0.000000
0.843750,654.24,20.45,0.000000
0.859375,664.11,23.50,0.000000
0.875000,673.88,20.88,0.000000
0.890625,684.00,21.84,0.000000
0.906250,693.66,23.32,0.000000
0.921875,703.66,20.10,0.000000
0.937500,713.63,23.06,0.000000
0.953125,723.32,22.14,0.000000
0.968750,733.45,20.76,0.000000
0.984375,743.22,23.57,0.000000
1.000000,753.08,20.61,0.000000
1.015625,763.17,22.42,0.000000
1.031250,772.81,22.98,0.000000
1.046875,782.86,20.08,0.000000
1.062500,792.77,23.45,0.000000
1.078125,802.50,21.50,0.000000
1.093750,812.64,21.42,0.000000
1.109375,822.32,23.58,0.000000
1.125000,832.28,20.19,0.000000
1.140625,842.29,22.90,0.000000
1.156250,851.96,22.64,0.000000
1.171875,862.07,20.24,0.000000
1.187500,871.89,23.63,0.000000
1.203125,881.69,21.13,0.000000
1.218750,891.81,22.07,0.000000
1.234375,901.47,23.39,0.000000
1.250000,911.47,20.05,0.000000
1.265625,921.44,23.33,0.000000
1.281250,931.13,22.06,0.000000
1.296875,941.25,21.08,0.000000
1.312500,951.01,23.70,0.000000
1.328125,960.90,20.34,0.000000
1.343750,970.96,22.64,0.000000
1.359375,980.60,23.17,0.000000
1.375000,990.67,20.06,0.000000
1.390625,1000.54,23.64,0.000000
1.406250,1010.31,21.51,0.000000
1.421875,1020.43,21.69,0.000000
1.437500,1030.12,23.71,0.000000
1.453125,1040.09,19.81,0.000000
1.468750,1050.08,23.09,0.000000
1.484375,1059.76,22.73,0.000000
1.500000,1069.88,20.65,0.000000
1.515625,1079.67,23.84,0.000000
1.531250,1089.51,20.87,0.000000
1.546875,1099.59,22.26,0.000000
1.562500,1109.27,23.34,0.000000
1.578125,1119.29,19.87,0.000000
1.593750,1129.23,23.48,0.000000
1.609375,1138.94,22.15,0.000000
1.625000,1149.07,21.19,0.000000
1.640625,1158.80,23.84,0.000000
1.656250,1168.72,20.31,0.000000
1.671875,1178.75,22.86,0.000000
1.687500,1188.41,23.08,0.000000
1.703125,1198.49,20.38,0.000000
1.718750,1208.35,23.77,0.000000
1.734375,1218.13,21.33,0.000000
1.750000,1228.25,21.91,0.000000
1.765625,1237.93,23.71,0.000000
1.781250,1247.91,20.01,0.000000
1.796875,1257.90,23.35,0.000000
1.812500,1267.58,22.59,0.000000
1.828125,1277.70,20.66,0.000000
1.843750,1287.48,23.88,0.000000
1.859375,1297.33,20.72,0.000000
1.875000,1307.41,22.51,0.000000
1.890625,1317.07,23.44,0.000000
1.906250,1327.11,20.10,0.000000
1.921875,1337.03,23.67,0.000000
1.937500,1346.76,21.90,0.000000
1.953125,1356.88,21.50,0.000000
1.968750,1366.60,23.87,0.000000
1.984375,1376.53,20.16,0.000000
2.000000,1386.56,23.03,0.000000
2.015625,1396.22,23.08,0.000000
2.031250,1406.31,20.33,0.000000
2.046875,1416.15,23.97,0.000000
2.062500,1425.95,21.26,0.000000
2.078125,1436.05,22.15,0.000000
2.093750,1445.73,23.80,0.000000
2.109375,1455.73,19.94,0.000000
2.125000,1465.69,23.59,0.000000
2.140625,1475.39,22.51,0.000000
2.156250,1485.51,21.10,0.000000
2.171875,1495.27,24.02,0.000000
2.187500,1505.15,20.50,0.000000
2.203125,1515.21,22.75,0.000000
2.218750,1524.87,23.41,0.000000
2.234375,1534.92,20.18,0.000000
2.250000,1544.82,23.91,0.000000
2.265625,1554.57,21.80,0.000000
2.281250,1564.70,21.66,0.000000
2.296875,1574.40,23.89,0.000000
2.312500,1584.35,20.04,0.000000
2.328125,1594.37,23.18,0.000000
2.343750,1604.03,22.90,0.000000
2.359375,1614.13,20.54,0.000000
2.375000,1623.95,24.05,0.000000
2.390625,1633.77,21.07,0.000000
2.406250,1643.87,22.29,0.000000
2.421875,1653.53,23.79,0.000000
2.437500,1663.55,19.93,0.000000
2.453125,1673.49,23.78,0.000000
2.468750,1683.20,22.34,0.000000
2.484375,1693.32,21.29,0.000000
2.500000,1703.07,24.14,0.000000
2.515625,1712.97,20.36,0.000000
2.531250,1723.02,22.97,0.000000
2.546875,1732.68,23.38,0.000000
2.562500,1742.75,20.09,0.000000
2.578125,1752.62,24.07,0.000000
2.593750,1762.39,21.63,0.000000
2.609375,1772.51,21.91,0.000000
2.625000,1782.20,24.02,0.000000
2.640625,1792.17,19.98,0.000000
2.656250,1802.16,23.53,0.000000
2.671875,1811.84,22.84,0.000000
2.687500,1821.94,20.83,0.000000
2.703125,1831.75,24.19,0.000000
2.718750,1841.59,20.91,0.000000
2.734375,1851.68,22.55,0.000000
2.750000,1861.34,23.70,0.000000
2.765625,1871.36,19.93,0.000000
2.781250,1881.30,23.87,0.000000
