frequency_hz,t_0.000000,t_0.031250,t_0.062500,t_0.093750,t_0.125000,t_0.156250,t_0.187500,t_0.218750,t_0.250000,t_0.281250,t_0.312500,t_0.343750,t_0.375000,t_0.406250,t_0.437500,t_0.468750,t_0.500000,t_0.531250,t_0.562500,t_0.593750,t_0.625000,t_0.656250,t_0.687500,t_0.718750,t_0.750000,t_0.781250,t_0.812500,t_0.843750,t_0.875000,t_0.906250,t_0.937500,t_0.968750,t_1.000000,t_1.031250,t_1.062500,t_1.093750,t_1.125000,t_1.156250,t_1.187500,t_1.218750,t_1.250000,t_1.281250,t_1.312500,t_1.343750,t_1.375000,t_1.406250,t_1.437500,t_1.468750,t_1.500000,t_1.531250,t_1.562500,t_1.593750,t_1.625000,t_1.656250,t_1.687500,t_1.718750,t_1.750000,t_1.781250,t_1.812500,t_1.843750,t_1.875000,t_1.906250,t_1.937500,t_1.968750,t_2.000000,t_2.031250,t_2.062500,t_2.093750,t_2.125000,t_2.156250,t_2.187500,t_2.218750,t_2.250000,t_2.281250,t_2.312500,t_2.343750,t_2.375000,t_2.406250,t_2.437500,t_2.468750,t_2.500000,t_2.531250,t_2.562500,t_2.593750,t_2.625000,t_2.656250,t_2.687500,t_2.718750,t_2.750000,t_2.781250,t_2.812500,t_2.843750,t_2.875000
0.00,-20.264906,-28.406546,-28.880577,-45.130331,-36.816257,-41.297537,-47.792834,-44.888472,-60.372941,-64.351105,-52.824051,-54.420483,-57.067222,-52.492501,-72.388125,-53.754282,-72.378440,-55.898779,-67.856028,-58.303344,-76.491505,-61.163562,-66.798608,-65.535876,-84.213285,-75.052582,-68.972032,-79.964465,-67.224701,-74.142782,-70.654469,-78.647690,-78.120238,-93.408297,-95.278129,-124.647755,-93.672912,-85.884173,-100.206085,-83.913101,-90.928349,-81.023005,-82.856391,-93.031254,-80.375799,-78.972964,-81.944857,-79.060999,-89.856779,-84.673040,-103.809154,-104.962410,-100.748061,-92.015228,-100.105206,-89.341464,-92.500448,-91.105492,-98.979033,-98.542641,-88.882557,-101.443907,-88.281808,-92.057350,-118.453506,-91.003900,-88.529908,-95.864660,-86.155976,-114.065389,-87.245128,-129.990038,-89.626526,-136.294683,-91.865009,-97.905732,-92.913040,-107.889805,-92.902464,-93.417669,-93.043825,-100.544201,-94.863783,-97.094152,-100.720502,-91.904960,-132.758190,-93.049415,-112.924333,-97.566517,-133.205201,-105.198706,-108.778279
8.00,-19.961983,-28.124955,-28.718976,-44.134635,-36.689260,-41.194004,-47.540028,-44.817445,-59.487362,-62.819461,-52.773156,-54.336803,-57.030314,-52.463943,-72.121240,-53.734868,-72.291028,-55.883009,-67.836336,-58.289804,-76.408193,-61.150945,-66.787473,-65.520398,-83.834341,-74.996357,-68.960425,-79.889913,-67.217704,-74.133353,-70.644134,-78.638281,-78.083504,-93.337545,-94.143430,-115.823469,-93.101792,-85.877621,-98.700950,-83.907297,-90.796275,-81.018464,-82.843195,-92.968090,-80.371107,-78.969653,-81.941246,-79.057799,-89.848109,-84.664427,-103.738865,-104.306549,-100.739932,-91.986158,-100.101508,-89.329179,-92.498856,-91.092200,-98.967631,-98.493696,-88.880570,-101.382628,-88.279652,-92.052730,-116.847088,-91.001753,-88.527539,-95.861837,-86.154517,-114.007287,-87.243527,-129.713394,-89.624357,-135.588317,-91.862236,-97.904884,-92.910394,-107.877959,-92.900495,-93.416741,-93.042387,-100.539573,-94.862431,-97.091682,-100.717977,-91.903998,-131.331190,-93.048285,-112.919411,-97.563952,-133.187907,-105.186674,-108.777759
16.00,-19.060474,-27.296945,-28.237312,-41.936411,-36.313890,-40.886447,-46.838748,-44.606084,-57.535328,-60.009603,-52.621375,-54.091603,-56.919919,-52.378508,-71.397410,-53.676675,-72.035850,-55.835724,-67.777309,-58.249206,-76.165716,-61.113124,-66.754084,-65.474081,-82.858761,-74.831195,-68.925662,-79.672767,-67.196720,-74.105095,-70.613190,-78.610085,-77.974826,-93.131200,-91.860431,-110.239501,-91.732787,-85.857981,-95.957926,-83.889895,-90.421833,-81.004843,-82.803772,-92.783612,-80.357035,-78.959725,-81.930410,-79.048196,-89.822171,-84.638650,-103.534217,-102.780509,-100.715667,-91.900012,-100.090430,-89.292491,-92.494096,-91.052529,-98.933632,-98.349930,-88.874631,-101.203711,-88.273182,-92.038931,-113.995484,-90.995309,-88.520416,-95.853318,-86.150130,-113.837338,-87.238714,-128.976524,-89.617880,-133.975915,-91.853956,-97.902367,-92.902390,-107.842422,-92.894570,-93.413977,-93.038086,-100.525634,-94.858415,-97.084287,-100.710370,-91.901169,-128.680333,-93.044883,-112.904523,-97.556273,-133.137434,-105.150986,-108.775964
24.00,-17.577560,-25.964539,-27.443852,-39.483121,-35.705233,-40.383274,-45.817473,-44.259229,-55.401904,-57.393151,-52.371308,-53.700769,-56.736992,-52.236899,-70.382681,-53.579848,-71.631944,-55.757003,-67.679098,-58.181614,-75.784143,-61.050191,-66.698483,-65.397271,-81.592493,-74.566871,-68.867918,-79.330669,-67.161764,-74.058087,-70.561807,-78.563194,-77.798555,-92.805368,-89.594395,-106.784244,-90.110734,-85.825302,-93.444226,-83.860938,-89.859499,-80.982169,-82.738616,-92.491620,-80.333610,-78.943182,-81.912360,-79.032199,-89.779148,-84.595920,-103.212185,-101.033843,-100.675347,-91.759796,-100.071990,-89.231892,-92.486158,-90.987064,-98.877433,-98.119961,-88.864728,-100.920411,-88.262390,-92.015969,-111.433890,-90.984567,-88.508564,-95.839131,-86.142828,-113.567480,-87.230704,-127.968687,-89.607094,-132.162283,-91.840159,-97.898164,-92.889091,-107.783788,-92.884724,-93.409363,-93.030919,-100.502460,-94.851712,-97.071972,-100.697675,-91.896433,-126.220507,-93.039231,-112.879648,-97.543501,-133.054694,-105.091966,-108.773028
32.00,-15.528904,-24.176534,-26.348994,-37.080102,-34.883467,-39.696372,-44.601902,-43.783995,-53.400615,-55.158792,-52.026932,-53.186186,-56.483038,-52.040230,-69.229021,-53.444624,-71.105159,-55.646978,-67.541949,-58.087136,-75.290570,-60.962297,-66.620741,-65.290525,-80.259805,-74.217446,-68.787477,-78.887764,-67.112860,-73.992463,-70.490268,-78.497757,-77.561263,-92.382274,-87.625281,-104.286009,-88.528609,-85.779663,-91.350957,-83.820494,-89.173661,-80.950472,-82.648525,-92.111397,-80.300874,-78.920038,-81.887104,-79.009820,-89.719347,-84.536563,-102.796081,-99.374301,-100.619194,-91.570132,-100.046177,-89.148169,-92.475040,-90.896760,-98.799750,-97.816273,-88.850871,-100.551429,-88.247313,-91.983939,-109.324529,-90.969542,-88.491982,-95.819299,-86.132594,-113.215063,-87.219487,-126.858252,-89.592004,-130.463427,-91.820877,-97.892288,-92.870504,-107.702954,-92.870927,-93.402891,-93.020880,-100.470244,-94.842320,-97.054764,-100.679987,-91.889800,-124.161054,-93.031305,-112.845243,-97.525648,-132.939694,-105.010635,-108.768909
40.00,-12.915394,-21.971164,-24.961415,-34.749761,-33.868945,-38.838753,-43.278016,-43.188648,-51.571634,-53.227942,-51.593158,-52.571213,-56.160008,-51.789954,-68.032709,-53.271318,-70.482554,-55.505821,-67.366192,-57.965914,-74.713160,-60.849648,-66.520953,-65.154592,-78.968545,-73.798842,-68.684723,-78.369605,-67.050043,-73.908405,-70.398955,-78.413982,-77.270914,-91.885736,-85.941332,-102.322656,-87.078707,-85.721165,-89.601395,-83.768660,-88.420545,-80.909804,-82.534558,-91.664026,-80.258880,-78.890304,-81.854661,-78.981074,-89.643191,-84.461037,-102.310669,-97.880771,-100.547509,-91.336768,-100.013061,-89.042383,-92.460739,-90.782870,-98.701539,-97.453220,-88.833071,-100.117290,-88.227934,-91.942970,-107.574331,-90.950232,-88.470702,-95.793867,-86.119451,-112.798503,-87.205078,-125.744982,-89.572633,-128.947544,-91.796162,-97.884724,-92.846661,-107.600881,-92.853237,-93.394598,-93.007995,-100.429030,-94.830271,-97.032692,-100.657244,-91.881284,-122.439004,-93.021128,-112.801085,-97.502763,-132.793940,-104.907983,-108.763639
48.00,-9.712457,-19.365605,-23.284302,-32.447729,-32.678377,-37.822424,-41.892515,-42.481480,-49.886017,-51.513518,-51.075332,-51.877221,-55.770153,-51.487766,-66.842411,-53.060312,-69.788389,-55.333749,-67.152237,-57.818129,-74.076945,-60.712497,-66.399237,-64.990377,-77.756656,-73.326734,-68.560131,-77.799399,-66.973356,-73.806139,-70.288338,-78.312123,-76.936028,-91.337676,-84.486164,-100.698368,-85.771827,-85.649954,-88.109912,-83.705550,-87.641143,-80.860224,-82.397992,-91.169339,-80.207702,-78.854000,-81.815053,-78.945981,-89.551186,-84.369893,-101.778642,-96.551898,-100.460631,-91.066024,-99.972632,-88.915805,-92.443259,-90.646899,-98.583898,-97.045096,-88.811325,-99.637345,-88.204284,-91.893181,-106.091259,-90.926655,-88.444741,-95.762822,-86.103387,-112.336323,-87.187470,-124.677787,-89.549002,-127.607215,-91.766043,-97.875484,-92.817615,-107.479072,-92.831645,-93.384439,-92.992237,-100.379099,-94.815541,-97.005834,-100.629590,-91.870874,-120.973419,-93.008684,-112.747674,-97.474888,-132.618355,-104.785573,-108.757146
56.00,-5.865200,-16.351262,-21.312049,-30.121046,-31.322655,-36.656822,-40.465410,-41.669877,-48.305851,-49.950304,-50.478780,-51.121760,-55.315883,-51.135503,-65.678012,-52.812041,-69.042216,-55.131009,-66.900556,-57.643987,-73.401917,-60.551140,-66.255730,-64.798911,-76.630530,-72.815124,-68.414250,-77.196135,-66.882851,-73.685934,-70.158967,-78.192482,-76.564962,-90.756325,-83.209266,-99.306753,-84.593971,-85.566180,-86.812751,-83.631310,-86.861909,-80.801806,-82.240268,-90.644243,-80.147423,-78.811147,-81.768299,-78.904567,-89.443932,-84.263777,-101.218673,-95.366144,-100.358999,-90.764317,-99.924960,-88.769859,-92.422579,-90.490546,-98.448165,-96.604999,-88.785654,-99.128179,-88.176380,-91.834760,-104.808635,-90.898816,-88.414133,-95.726267,-86.084403,-111.844083,-87.166683,-123.673333,-89.521134,-126.417147,-91.730588,-97.864560,-92.783410,-107.338906,-92.806166,-93.372439,-92.973644,-100.320633,-94.798139,-96.974165,-100.596974,-91.858576,-119.703583,-92.994013,-112.684981,-97.442121,-132.416086,-104.644800,-108.749623
64.00,-1.294543,-12.891848,-19.027319,-27.719179,-29.805977,-35.347895,-39.001141,-40.759682,-46.797706,-48.491566,-49.808431,-50.318080,-54.799621,-50.735044,-64.544526,-52.526969,-68.258607,-54.897872,-66.611671,-57.443720,-72.702835,-60.365907,-66.090583,-64.581310,-75.584438,-72.275669,-68.247687,-76.574210,-66.778588,-73.548091,-70.011447,-78.055401,-76.165409,-90.155721,-82.071987,-98.083695,-83.526248,-85.470031,-85.664813,-83.546099,-86.098326,-80.734634,-82.062932,-90.102101,-80.078145,-78.761768,-81.714435,-78.856860,-89.322099,-84.143406,-100.645037,-94.300246,-100.243077,-90.437778,-99.870089,-88.606101,-92.398707,-90.315599,-98.295711,-96.143920,-88.756061,-98.603093,-88.144234,-91.767895,-103.680052,-90.866738,-88.378905,-95.684178,-86.062511,-111.334571,-87.142718,-122.735579,-89.489068,-125.351432,-91.689860,-97.851960,-92.744114,-107.182119,-92.776853,-93.358604,-92.952203,-100.253914,-94.778068,-96.937843,-100.559521,-91.844375,-118.584723,-92.977068,-112.613301,-97.404442,-132.188619,-104.487315,-108.740720
72.00,4.075952,-8.923013,-16.398100,-25.193609,-28.125645,-33.897629,-37.495563,-39.754813,-45.334218,-47.103253,-49.068540,-49.475455,-54.223682,-50.288215,-63.439997,-52.205575,-67.447755,-54.634624,-66.286138,-57.217575,-71.989919,-60.157155,-65.903956,-64.338741,-74.608911,-71.717552,-68.061094,-75.943910,-66.660630,-73.392942,-69.846433,-77.901252,-75.744107,-89.546088,-81.045559,-96.987585,-82.550980,-85.361703,-84.633959,-83.450098,-85.358549,-80.658804,-81.867589,-89.552917,-79.999976,-78.705894,-81.653489,-78.802893,-89.186398,-84.009547,-100.068045,-93.333944,-100.113387,-90.091992,-99.808050,-88.426119,-92.371635,-90.123910,-98.127989,-95.670819,-88.722564,-98.071927,-88.107880,-91.692809,-102.672725,-90.830426,-88.339110,-95.636676,-86.037712,-110.817525,-87.115579,-121.860837,-89.452816,-124.388476,-91.643933,-97.837664,-92.699805,-107.010232,-92.743721,-93.342908,-92.927928,-100.179222,-94.755359,-96.896872,-100.517264,-91.828302,-117.585478,-92.957907,-112.533258,-97.362078,-131.936780,-104.314949,-108.730795
